table,attribute,model,complete_ids,analysis_rows,valid_bootstrap_replicates_min,dp_difference,dp_difference_ci_low,dp_difference_ci_high,dp_difference_formatted,dp_ratio,dp_ratio_ci_low,dp_ratio_ci_high,dp_ratio_formatted,eo_difference,eo_difference_ci_low,eo_difference_ci_high,eo_difference_formatted,eo_ratio,eo_ratio_ci_low,eo_ratio_ci_high,eo_ratio_formatted
Table 4,gender,LLaMA 3,87,174,5000,0.011494252873563204,0.0,0.03448275862068967,"0.011 [0.000, 0.034]",0.9600000000000001,0.8636363636363636,1.0,"0.960 [0.864, 1.000]",0.032258064516129004,0.0,0.1071428571428572,"0.032 [0.000, 0.107]",0.9600000000000001,0.8636363636363638,1.0,"0.960 [0.864, 1.000]"
Table 4,gender,Meditron,85,170,5000,0.02352941176470591,0.0,0.05882352941176472,"0.024 [0.000, 0.059]",0.9607843137254901,0.9,1.0,"0.961 [0.900, 1.000]",0.033333333333333326,0.0,0.11111111111111116,"0.033 [0.000, 0.111]",0.9666666666666667,0.8888888888888888,1.0,"0.967 [0.889, 1.000]"
Table 4,gender,Mistral,87,174,5000,0.011494252873563204,0.0,0.03448275862068967,"0.011 [0.000, 0.034]",0.9714285714285714,0.9047235023041474,1.0,"0.971 [0.905, 1.000]",0.0,0.0,0.0,"0.000 [0.000, 0.000]",1.0,1.0,1.0,"1.000 [1.000, 1.000]"
Table 4,race,BioMistral,87,348,5000,0.08045977011494254,0.03448275862068961,0.14942528735632182,"0.080 [0.034, 0.149]",0.7741935483870968,0.6,0.9090909090909092,"0.774 [0.600, 0.909]",0.16129032258064513,0.03703703703703698,0.30000000000000004,"0.161 [0.037, 0.300]",0.8148148148148149,0.6562500000000001,0.9565217391304347,"0.815 [0.656, 0.957]"
Table 4,race,Gemma,87,348,5000,0.0,0.0,0.0,"0.000 [0.000, 0.000]",1.0,1.0,1.0,"1.000 [1.000, 1.000]",0.0,0.0,0.0,"0.000 [0.000, 0.000]",1.0,1.0,1.0,"1.000 [1.000, 1.000]"
Table 4,race,LLaMA 3,87,348,5000,0.0,0.0,0.04597701149425287,"0.000 [0.000, 0.046]",1.0,0.8421052631578947,1.0,"1.000 [0.842, 1.000]",0.0,0.0,0.125,"0.000 [0.000, 0.125]",1.0,0.8421052631578947,1.0,"1.000 [0.842, 1.000]"
Table 4,race,Meditron,86,344,5000,0.046511627906976716,0.011627906976744207,0.09302325581395354,"0.047 [0.012, 0.093]",0.9259259259259259,0.8461538461538463,0.9811320754716981,"0.926 [0.846, 0.981]",0.032258064516129004,0.0,0.1071428571428571,"0.032 [0.000, 0.107]",0.967741935483871,0.8928571428571429,1.0,"0.968 [0.893, 1.000]"
Table 4,race,Mistral,87,348,5000,0.022988505747126464,0.0,0.05747126436781613,"0.023 [0.000, 0.057]",0.9428571428571428,0.8571428571428571,1.0,"0.943 [0.857, 1.000]",0.0,0.0,0.0,"0.000 [0.000, 0.000]",1.0,1.0,1.0,"1.000 [1.000, 1.000]"
Table 4,insurance,BioMistral,87,348,5000,0.03448275862068967,0.02298850574712641,0.09195402298850575,"0.034 [0.023, 0.092]",0.8928571428571428,0.71875,0.9354838709677419,"0.893 [0.719, 0.935]",0.06451612903225801,0.0,0.16666666666666674,"0.065 [0.000, 0.167]",0.92,0.7916666666666667,1.0,"0.920 [0.792, 1.000]"
Table 4,insurance,Gemma,87,348,5000,0.011494252873563204,0.0,0.04597701149425287,"0.011 [0.000, 0.046]",0.9696969696969697,0.8823529411764706,1.0,"0.970 [0.882, 1.000]",0.032258064516129004,0.0,0.125,"0.032 [0.000, 0.125]",0.9655172413793104,0.8666666666666667,1.0,"0.966 [0.867, 1.000]"
Table 4,insurance,LLaMA 3,87,348,5000,0.03448275862068967,0.011494252873563204,0.08045977011494254,"0.034 [0.011, 0.080]",0.8846153846153846,0.7307692307692307,0.9565217391304348,"0.885 [0.731, 0.957]",0.09677419354838712,0.03703703703703698,0.2333333333333334,"0.097 [0.037, 0.233]",0.8846153846153846,0.7307692307692307,0.9565217391304347,"0.885 [0.731, 0.957]"
Table 4,insurance,Meditron,86,344,5000,0.04651162790697683,0.011627906976744207,0.09302325581395354,"0.047 [0.012, 0.093]",0.9199999999999998,0.8367254174397032,0.9795918367346939,"0.920 [0.837, 0.980]",0.0,0.0,0.0,"0.000 [0.000, 0.000]",1.0,1.0,1.0,"1.000 [1.000, 1.000]"
Table 4,insurance,Mistral,87,348,5000,0.02298850574712641,0.0,0.05747126436781613,"0.023 [0.000, 0.057]",0.945945945945946,0.8611111111111112,1.0,"0.946 [0.861, 1.000]",0.0,0.0,0.0,"0.000 [0.000, 0.000]",1.0,1.0,1.0,"1.000 [1.000, 1.000]"
